"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-01","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.8","","","","1"
"2011-02","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.8","","","","1"
"2011-03","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.8","","","","1"
"2011-04","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.8","","","","1"
"2011-05","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.8","","","","1"
"2011-06","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.7","","","","1"
"2011-07","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.6","","","","1"
"2011-08","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.5","","","","1"
"2011-09","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.4","","","","1"
"2011-10","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.5","","","","1"
"2011-11","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.6","","","","1"
"2011-12","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.6","","","","1"
"2012-01","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.6","","","","1"
"2012-02","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.6","","","","1"
"2012-03","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.6","","","","1"
"2012-04","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.5","","","","1"
"2012-05","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.4","","","","1"
"2012-06","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.4","","","","1"
"2012-07","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.4","","","","1"
"2012-08","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.4","","","","1"
"2012-09","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.4","","","","1"
"2012-10","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.4","","","","1"
"2012-11","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.4","","","","1"
"2012-12","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.4","","","","1"
"2013-01","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.3","","","","1"
"2013-02","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2013-03","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2013-04","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2013-05","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2013-06","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.1","","","","1"
"2013-07","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2013-08","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2013-09","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2013-10","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2013-11","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2013-12","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.3","","","","1"
"2014-01","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.3","","","","1"
"2014-02","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.3","","","","1"
"2014-03","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2014-04","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
"2014-05","Canada","2021A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643277934","1.5.1.1","7.2","","","","1"
