Unnamed: 0,date,year,month,quarter,season,covid_period,ridership,gas_price_regular,unemployment_rate,avg_temp,total_precip_mm,total_snow_cm,avg_max_temp,avg_min_temp,climate_data_flag,days_in_month,missing_temp_days,missing_precip_days,missing_snow_days,temp_completeness,precip_completeness,snow_completeness,ridership_lag1,ridership_lag12,gas_price_lag1,unemployment_rate_lag1,avg_temp_lag1,total_precip_mm_lag1,total_snow_cm_lag1
49,2011-02-01,2011,2,1,Winter,Pre-COVID,1595000,114.8,8.5,-5.014285714285714,55.0,44.6,-0.8214285714285714,-9.178571428571429,False,28,0,0,0,1.0,1.0,1.0,1540000.0,1538000.0,113.6,8.4,-6.65483870967742,42.0,43.4
50,2011-03-01,2011,3,1,Spring,Pre-COVID,1568000,121.0,8.8,-0.5193548387096775,127.6,24.4,3.774193548387097,-4.806451612903226,False,31,0,0,0,1.0,1.0,1.0,1595000.0,1489000.0,114.8,8.5,-5.014285714285714,55.0,44.6
51,2011-04-01,2011,4,2,Spring,Pre-COVID,1539000,131.0,9.0,6.983333333333333,96.0,4.2,12.35,1.566666666666667,False,30,0,0,0,1.0,1.0,1.0,1568000.0,1500000.0,121.0,8.8,-0.5193548387096775,127.6,24.4
52,2011-05-01,2011,5,2,Spring,Pre-COVID,1602000,133.5,9.1,14.29032258064516,134.6,0.0,19.12903225806452,9.419354838709678,False,31,0,0,0,1.0,1.0,1.0,1539000.0,1530000.0,131.0,9.0,6.983333333333333,96.0,4.2
53,2011-06-01,2011,6,2,Summer,Pre-COVID,1579000,129.5,8.9,19.10333333333333,78.0,0.0,24.36666666666667,13.78333333333333,False,30,0,0,0,1.0,1.0,1.0,1602000.0,1492000.0,133.5,9.1,14.29032258064516,134.6,0.0
54,2011-07-01,2011,7,3,Summer,Pre-COVID,1528000,129.6,8.7,23.68709677419355,44.2,0.0,29.88709677419355,17.43548387096774,False,31,0,0,0,1.0,1.0,1.0,1579000.0,1473000.0,129.5,8.9,19.10333333333333,78.0,0.0
55,2011-08-01,2011,8,3,Summer,Pre-COVID,1449000,127.4,8.5,21.4741935483871,114.0,0.0,26.75806451612903,16.12903225806452,False,31,0,0,0,1.0,1.0,1.0,1528000.0,1412000.0,129.6,8.7,23.68709677419355,44.2,0.0
56,2011-09-01,2011,9,3,Fall,Pre-COVID,1689000,125.3,8.4,17.53666666666667,108.4,0.0,22.25,12.76666666666667,False,30,0,0,0,1.0,1.0,1.0,1449000.0,1615000.0,127.4,8.5,21.4741935483871,114.0,0.0
57,2011-10-01,2011,10,4,Fall,Pre-COVID,1678000,124.2,8.5,10.54838709677419,103.5,0.0,15.09677419354839,5.951612903225806,False,31,0,0,0,1.0,1.0,1.0,1689000.0,1622000.0,125.3,8.4,17.53666666666667,108.4,0.0
58,2011-11-01,2011,11,4,Fall,Pre-COVID,1639000,121.0,8.6,6.776666666666667,90.8,1.4,10.86666666666667,2.633333333333333,False,30,0,0,0,1.0,1.0,1.0,1678000.0,1541000.0,124.2,8.5,10.54838709677419,103.5,0.0
